Designator,Mid X,Mid Y,Rotation,Layer
C1,150.01875,-71.449669,180,bottom
C10,93.254556,-51.459534,90,bottom
C2,156.991552,-67.805647,90,bottom
C3,153.917092,-71.518524,270,bottom
C4,153.516667,-58.998702,0,bottom
C5,144.866794,-62.379347,0,bottom
C6,145.842972,-61.149876,0,bottom
C7,151.506144,-71.538185,270,bottom
C8,95.989824,-52.075515,90,bottom
C9,101.6,-50.48625,270,bottom
D1,231.29875,-59.69,270,bottom
D10,78.89875,-59.69,270,bottom
D11,244.95125,-81.75625,90,bottom
D12,225.7423,-75.56495,90,bottom
D13,206.6923,-75.56495,90,bottom
D14,168.5923,-75.56495,90,bottom
D15,187.6423,-75.56495,90,bottom
D16,140.0173,-75.56495,90,bottom
D17,120.9673,-75.56495,90,bottom
D18,101.9173,-75.56495,90,bottom
D19,67.945,-75.40625,90,bottom
D2,220.9798,-56.51495,90,bottom
D20,82.8673,-75.56495,90,bottom
D21,249.5548,-94.61495,90,bottom
D22,217.01125,-103.34625,270,bottom
D23,230.5048,-94.61495,90,bottom
D24,194.78625,-103.28375,270,bottom
D25,192.4048,-94.61495,90,bottom
D26,211.4548,-94.61495,90,bottom
D27,173.3548,-94.61495,90,bottom
D28,164.62375,-103.28375,270,bottom
D29,178.91125,-103.28375,270,bottom
D3,201.9298,-56.51495,90,bottom
D30,159.0675,-94.615,90,bottom
D31,151.128335,-106.16916,270,bottom
D32,126.741453,-103.28375,270,bottom
D33,135.2548,-94.61495,90,bottom
D34,116.2048,-94.61495,90,bottom
D35,99.53625,-103.28375,270,bottom
D36,110.64875,-103.28375,270,bottom
D37,97.1548,-94.61495,90,bottom
D38,78.1048,-94.61495,90,bottom
D39,59.0548,-94.61495,90,bottom
D4,182.8798,-56.51495,90,bottom
D5,163.8298,-56.51495,90,bottom
D6,144.7798,-56.51495,90,bottom
D7,125.7298,-56.51495,90,bottom
D8,106.603324,-56.41875,90,bottom
D9,71.755,-59.69,270,bottom
D99,91.618207,-49.00625,0,bottom
F1,91.59875,-54.58125,90,bottom
J1,84.468818,-49.614156,180,bottom
L1,74.6125,-50.8,180,bottom
LED1,249.555,-64.931909,0,bottom
LED10,170.18,-99.3775,180,bottom
LED11,209.07375,-99.3775,180,bottom
LED12,249.555,-84.29625,180,bottom
LED2,208.28,-64.931909,0,bottom
LED3,170.18,-64.931909,0,bottom
LED4,132.08,-64.931909,0,bottom
LED5,93.98,-64.931909,0,bottom
LED6,53.49875,-64.931909,0,bottom
LED7,53.49875,-84.29625,180,bottom
LED8,93.18625,-99.3775,180,bottom
LED9,132.08,-99.3775,180,bottom
R1,155.910378,-81.623507,270,bottom
R2,155.910378,-79.699457,270,bottom
R3,81.536,-54.1274,180,bottom
R4,87.717917,-53.90423,0,bottom
SW0,151.13,-81.12125,180,bottom
U1,151.129002,-65.078172,0,bottom
U2,98.425,-50.00625,0,bottom
